fuzz: elapsed: 0s, gathering baseline coverage: 0/177 completed
fuzz: elapsed: 0s, gathering baseline coverage: 177/177 completed, now fuzzing with 2 workers
fuzz: elapsed: 3s, execs: 4268 (1422/sec), new interesting: 8 (total: 185)
fuzz: elapsed: 6s, execs: 4268 (0/sec), new interesting: 8 (total: 185)
fuzz: elapsed: 9s, execs: 16686 (4141/sec), new interesting: 11 (total: 188)
fuzz: elapsed: 12s, execs: 16686 (0/sec), new interesting: 11 (total: 188)
fuzz: elapsed: 15s, execs: 24684 (2666/sec), new interesting: 13 (total: 190)
fuzz: elapsed: 18s, execs: 33428 (2915/sec), new interesting: 15 (total: 192)
fuzz: elapsed: 21s, execs: 41817 (2797/sec), new interesting: 59 (total: 236)
fuzz: elapsed: 24s, execs: 49703 (2628/sec), new interesting: 106 (total: 283)
fuzz: elapsed: 27s, execs: 56737 (2345/sec), new interesting: 141 (total: 318)
fuzz: elapsed: 30s, execs: 60834 (1366/sec), new interesting: 151 (total: 328)
fuzz: elapsed: 33s, execs: 60834 (0/sec), new interesting: 151 (total: 328)
fuzz: elapsed: 36s, execs: 99695 (12954/sec), new interesting: 187 (total: 364)
fuzz: elapsed: 39s, execs: 112483 (4263/sec), new interesting: 205 (total: 382)
fuzz: elapsed: 42s, execs: 118713 (2077/sec), new interesting: 229 (total: 406)
fuzz: elapsed: 45s, execs: 127020 (2769/sec), new interesting: 249 (total: 426)
fuzz: elapsed: 48s, execs: 127020 (0/sec), new interesting: 249 (total: 426)
fuzz: elapsed: 51s, execs: 127020 (0/sec), new interesting: 249 (total: 426)
fuzz: elapsed: 54s, execs: 127020 (0/sec), new interesting: 249 (total: 426)
fuzz: elapsed: 57s, execs: 127020 (0/sec), new interesting: 249 (total: 426)
fuzz: elapsed: 1m0s, execs: 127020 (0/sec), new interesting: 249 (total: 426)
fuzz: elapsed: 1m3s, execs: 134779 (2586/sec), new interesting: 271 (total: 448)
fuzz: elapsed: 1m6s, execs: 210874 (25365/sec), new interesting: 286 (total: 463)
fuzz: elapsed: 1m9s, execs: 210874 (0/sec), new interesting: 286 (total: 463)
fuzz: elapsed: 1m12s, execs: 210874 (0/sec), new interesting: 286 (total: 463)
fuzz: elapsed: 1m15s, execs: 210874 (0/sec), new interesting: 286 (total: 463)
fuzz: elapsed: 1m18s, execs: 210874 (0/sec), new interesting: 286 (total: 463)
fuzz: elapsed: 1m21s, execs: 250965 (13364/sec), new interesting: 304 (total: 481)
fuzz: elapsed: 1m24s, execs: 260088 (3041/sec), new interesting: 327 (total: 504)
fuzz: elapsed: 1m27s, execs: 268792 (2902/sec), new interesting: 366 (total: 543)
fuzz: elapsed: 1m30s, execs: 276775 (2661/sec), new interesting: 401 (total: 578)
fuzz: elapsed: 1m33s, execs: 284736 (2654/sec), new interesting: 432 (total: 609)
fuzz: elapsed: 1m36s, execs: 292887 (2717/sec), new interesting: 439 (total: 616)
fuzz: elapsed: 1m39s, execs: 295085 (732/sec), new interesting: 451 (total: 628)
fuzz: elapsed: 1m42s, execs: 295085 (0/sec), new interesting: 451 (total: 628)
fuzz: elapsed: 1m45s, execs: 295085 (0/sec), new interesting: 451 (total: 628)
fuzz: elapsed: 1m48s, execs: 295085 (0/sec), new interesting: 451 (total: 628)
fuzz: elapsed: 1m51s, execs: 295085 (0/sec), new interesting: 451 (total: 628)
fuzz: elapsed: 1m54s, execs: 295085 (0/sec), new interesting: 451 (total: 628)
fuzz: elapsed: 1m57s, execs: 295085 (0/sec), new interesting: 451 (total: 628)
fuzz: elapsed: 2m0s, execs: 295085 (0/sec), new interesting: 451 (total: 628)
fuzz: elapsed: 2m3s, execs: 295085 (0/sec), new interesting: 451 (total: 628)
fuzz: elapsed: 2m6s, execs: 297108 (674/sec), new interesting: 457 (total: 634)
fuzz: elapsed: 2m9s, execs: 297108 (0/sec), new interesting: 457 (total: 634)
fuzz: elapsed: 2m12s, execs: 297108 (0/sec), new interesting: 457 (total: 634)
fuzz: elapsed: 2m15s, execs: 297108 (0/sec), new interesting: 457 (total: 634)
fuzz: elapsed: 2m18s, execs: 297108 (0/sec), new interesting: 457 (total: 634)
fuzz: elapsed: 2m21s, execs: 297108 (0/sec), new interesting: 457 (total: 634)
fuzz: elapsed: 2m24s, execs: 342624 (15179/sec), new interesting: 468 (total: 645)
fuzz: elapsed: 2m27s, execs: 343206 (194/sec), new interesting: 470 (total: 647)
fuzz: elapsed: 2m30s, execs: 396107 (17633/sec), new interesting: 482 (total: 659)
fuzz: elapsed: 2m33s, execs: 401539 (1811/sec), new interesting: 498 (total: 675)
fuzz: elapsed: 2m36s, execs: 401539 (0/sec), new interesting: 498 (total: 675)
fuzz: elapsed: 2m39s, execs: 401539 (0/sec), new interesting: 498 (total: 675)
fuzz: elapsed: 2m42s, execs: 401539 (0/sec), new interesting: 498 (total: 675)
fuzz: elapsed: 2m45s, execs: 401539 (0/sec), new interesting: 498 (total: 675)
fuzz: elapsed: 2m48s, execs: 401539 (0/sec), new interesting: 498 (total: 675)
fuzz: elapsed: 2m51s, execs: 401539 (0/sec), new interesting: 498 (total: 675)
fuzz: elapsed: 2m54s, execs: 401539 (0/sec), new interesting: 498 (total: 675)
fuzz: elapsed: 2m57s, execs: 401539 (0/sec), new interesting: 498 (total: 675)
fuzz: elapsed: 3m0s, execs: 401539 (0/sec), new interesting: 498 (total: 675)
fuzz: elapsed: 3m3s, execs: 401539 (0/sec), new interesting: 498 (total: 675)
fuzz: elapsed: 3m6s, execs: 401539 (0/sec), new interesting: 498 (total: 675)
fuzz: elapsed: 3m9s, execs: 401539 (0/sec), new interesting: 498 (total: 675)
fuzz: elapsed: 3m12s, execs: 401539 (0/sec), new interesting: 498 (total: 675)
fuzz: elapsed: 3m15s, execs: 401539 (0/sec), new interesting: 498 (total: 675)
fuzz: elapsed: 3m18s, execs: 401539 (0/sec), new interesting: 498 (total: 675)
fuzz: elapsed: 3m21s, execs: 401539 (0/sec), new interesting: 498 (total: 675)
fuzz: elapsed: 3m24s, execs: 401539 (0/sec), new interesting: 498 (total: 675)
fuzz: elapsed: 3m27s, execs: 408596 (2352/sec), new interesting: 519 (total: 696)
fuzz: elapsed: 3m30s, execs: 408596 (0/sec), new interesting: 519 (total: 696)
fuzz: elapsed: 3m33s, execs: 410802 (735/sec), new interesting: 529 (total: 706)
fuzz: elapsed: 3m36s, execs: 418637 (2611/sec), new interesting: 553 (total: 730)
fuzz: elapsed: 3m39s, execs: 418768 (44/sec), new interesting: 554 (total: 731)
fuzz: elapsed: 3m42s, execs: 418768 (0/sec), new interesting: 554 (total: 731)
fuzz: elapsed: 3m45s, execs: 418768 (0/sec), new interesting: 554 (total: 731)
fuzz: elapsed: 3m48s, execs: 418768 (0/sec), new interesting: 554 (total: 731)
fuzz: elapsed: 3m51s, execs: 418768 (0/sec), new interesting: 554 (total: 731)
fuzz: elapsed: 3m54s, execs: 418768 (0/sec), new interesting: 554 (total: 731)
fuzz: elapsed: 3m57s, execs: 418768 (0/sec), new interesting: 554 (total: 731)
fuzz: elapsed: 4m0s, execs: 418768 (0/sec), new interesting: 554 (total: 731)
fuzz: elapsed: 4m3s, execs: 418768 (0/sec), new interesting: 554 (total: 731)
fuzz: elapsed: 4m6s, execs: 418768 (0/sec), new interesting: 554 (total: 731)
fuzz: elapsed: 4m9s, execs: 418768 (0/sec), new interesting: 554 (total: 731)
fuzz: elapsed: 4m12s, execs: 418768 (0/sec), new interesting: 554 (total: 731)
fuzz: elapsed: 4m15s, execs: 418768 (0/sec), new interesting: 554 (total: 731)
fuzz: elapsed: 4m18s, execs: 418768 (0/sec), new interesting: 554 (total: 731)
fuzz: elapsed: 4m21s, execs: 418768 (0/sec), new interesting: 554 (total: 731)
fuzz: elapsed: 4m24s, execs: 418768 (0/sec), new interesting: 554 (total: 731)
fuzz: elapsed: 4m27s, execs: 418772 (1/sec), new interesting: 555 (total: 732)
fuzz: elapsed: 4m30s, execs: 419331 (186/sec), new interesting: 556 (total: 733)
