fuzz: elapsed: 0s, gathering baseline coverage: 0/327 completed
fuzz: elapsed: 1s, gathering baseline coverage: 327/327 completed, now fuzzing with 4 workers
fuzz: elapsed: 3s, execs: 10199 (3399/sec), new interesting: 17 (total: 344)
fuzz: elapsed: 6s, execs: 30941 (6911/sec), new interesting: 20 (total: 347)
fuzz: elapsed: 9s, execs: 48720 (5928/sec), new interesting: 21 (total: 348)
fuzz: elapsed: 12s, execs: 64423 (5227/sec), new interesting: 21 (total: 348)
fuzz: elapsed: 15s, execs: 83334 (6310/sec), new interesting: 22 (total: 349)
fuzz: elapsed: 18s, execs: 111160 (9280/sec), new interesting: 23 (total: 350)
fuzz: elapsed: 21s, execs: 145591 (11478/sec), new interesting: 23 (total: 350)
fuzz: elapsed: 24s, execs: 173665 (9334/sec), new interesting: 26 (total: 353)
fuzz: elapsed: 27s, execs: 193033 (6472/sec), new interesting: 26 (total: 353)
fuzz: elapsed: 30s, execs: 223468 (10134/sec), new interesting: 26 (total: 353)
fuzz: elapsed: 33s, execs: 256395 (10989/sec), new interesting: 28 (total: 355)
fuzz: elapsed: 36s, execs: 286146 (9904/sec), new interesting: 29 (total: 356)
fuzz: elapsed: 39s, execs: 311328 (8402/sec), new interesting: 29 (total: 356)
fuzz: elapsed: 42s, execs: 330218 (6297/sec), new interesting: 29 (total: 356)
fuzz: elapsed: 45s, execs: 339171 (2984/sec), new interesting: 29 (total: 356)
fuzz: elapsed: 48s, execs: 356210 (5681/sec), new interesting: 29 (total: 356)
fuzz: elapsed: 51s, execs: 371157 (4983/sec), new interesting: 29 (total: 356)
fuzz: elapsed: 54s, execs: 387396 (5413/sec), new interesting: 29 (total: 356)
fuzz: elapsed: 57s, execs: 406587 (6397/sec), new interesting: 30 (total: 357)
fuzz: elapsed: 1m0s, execs: 419334 (4248/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 1m3s, execs: 432021 (4229/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 1m6s, execs: 448420 (5467/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 1m9s, execs: 470458 (7342/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 1m12s, execs: 479644 (3063/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 1m15s, execs: 489031 (3130/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 1m18s, execs: 508585 (6516/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 1m21s, execs: 516113 (2509/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 1m24s, execs: 526974 (3621/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 1m27s, execs: 538023 (3682/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 1m30s, execs: 548795 (3592/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 1m33s, execs: 565164 (5456/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 1m36s, execs: 577134 (3989/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 1m39s, execs: 594952 (5941/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 1m42s, execs: 620231 (8425/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 1m45s, execs: 640554 (6773/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 1m48s, execs: 664729 (8061/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 1m51s, execs: 681392 (5554/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 1m54s, execs: 701479 (6687/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 1m57s, execs: 715008 (4516/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 2m0s, execs: 736264 (7084/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 2m3s, execs: 746389 (3376/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 2m6s, execs: 760242 (4615/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 2m9s, execs: 786171 (8647/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 2m12s, execs: 797847 (3891/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 2m15s, execs: 810980 (4379/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 2m18s, execs: 822606 (3874/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 2m21s, execs: 836761 (4718/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 2m24s, execs: 853644 (5620/sec), new interesting: 31 (total: 358)
