fuzz: elapsed: 0s, gathering baseline coverage: 0/6 completed
fuzz: elapsed: 0s, gathering baseline coverage: 6/6 completed, now fuzzing with 4 workers
fuzz: elapsed: 3s, execs: 24051 (8014/sec), new interesting: 4 (total: 10)
fuzz: elapsed: 6s, execs: 24051 (0/sec), new interesting: 4 (total: 10)
fuzz: elapsed: 9s, execs: 24051 (0/sec), new interesting: 4 (total: 10)
fuzz: elapsed: 12s, execs: 24051 (0/sec), new interesting: 4 (total: 10)
fuzz: elapsed: 15s, execs: 24051 (0/sec), new interesting: 4 (total: 10)
fuzz: elapsed: 18s, execs: 24051 (0/sec), new interesting: 4 (total: 10)
fuzz: elapsed: 21s, execs: 24051 (0/sec), new interesting: 4 (total: 10)
fuzz: elapsed: 24s, execs: 24051 (0/sec), new interesting: 4 (total: 10)
fuzz: elapsed: 27s, execs: 24051 (0/sec), new interesting: 4 (total: 10)
fuzz: elapsed: 30s, execs: 24051 (0/sec), new interesting: 4 (total: 10)
fuzz: elapsed: 33s, execs: 24051 (0/sec), new interesting: 4 (total: 10)
fuzz: elapsed: 36s, execs: 62380 (12767/sec), new interesting: 5 (total: 11)
fuzz: elapsed: 39s, execs: 70885 (2795/sec), new interesting: 6 (total: 12)
fuzz: elapsed: 42s, execs: 70885 (0/sec), new interesting: 6 (total: 12)
fuzz: elapsed: 45s, execs: 70885 (0/sec), new interesting: 6 (total: 12)
fuzz: elapsed: 48s, execs: 70885 (0/sec), new interesting: 6 (total: 12)
fuzz: elapsed: 51s, execs: 70885 (0/sec), new interesting: 6 (total: 12)
fuzz: elapsed: 54s, execs: 70885 (0/sec), new interesting: 6 (total: 12)
fuzz: elapsed: 57s, execs: 70885 (0/sec), new interesting: 6 (total: 12)
fuzz: elapsed: 1m0s, execs: 70885 (0/sec), new interesting: 6 (total: 12)
fuzz: elapsed: 1m3s, execs: 74444 (1186/sec), new interesting: 9 (total: 15)
fuzz: elapsed: 1m6s, execs: 118650 (14739/sec), new interesting: 10 (total: 16)
fuzz: elapsed: 1m9s, execs: 125259 (2203/sec), new interesting: 10 (total: 16)
fuzz: elapsed: 1m12s, execs: 136749 (3831/sec), new interesting: 11 (total: 17)
fuzz: elapsed: 1m15s, execs: 150844 (4693/sec), new interesting: 11 (total: 17)
fuzz: elapsed: 1m18s, execs: 164853 (4675/sec), new interesting: 11 (total: 17)
