fuzz: elapsed: 0s, gathering baseline coverage: 0/2 completed
fuzz: elapsed: 0s, gathering baseline coverage: 2/2 completed, now fuzzing with 4 workers
fuzz: elapsed: 3s, execs: 92671 (30853/sec), new interesting: 73 (total: 75)
fuzz: elapsed: 6s, execs: 160975 (22779/sec), new interesting: 85 (total: 87)
fuzz: elapsed: 9s, execs: 221088 (20045/sec), new interesting: 89 (total: 91)
fuzz: elapsed: 12s, execs: 269582 (16168/sec), new interesting: 94 (total: 96)
fuzz: elapsed: 15s, execs: 308966 (13127/sec), new interesting: 100 (total: 102)
fuzz: elapsed: 18s, execs: 361562 (17526/sec), new interesting: 107 (total: 109)
fuzz: elapsed: 21s, execs: 396756 (11736/sec), new interesting: 108 (total: 110)
fuzz: elapsed: 24s, execs: 434038 (12424/sec), new interesting: 108 (total: 110)
fuzz: elapsed: 27s, execs: 478192 (14712/sec), new interesting: 114 (total: 116)
fuzz: elapsed: 30s, execs: 555470 (25776/sec), new interesting: 120 (total: 122)
fuzz: elapsed: 33s, execs: 602744 (15757/sec), new interesting: 123 (total: 125)
fuzz: elapsed: 36s, execs: 638737 (11997/sec), new interesting: 124 (total: 126)
fuzz: elapsed: 39s, execs: 722540 (27924/sec), new interesting: 124 (total: 126)
fuzz: elapsed: 42s, execs: 791848 (23101/sec), new interesting: 124 (total: 126)
fuzz: elapsed: 45s, execs: 867619 (25272/sec), new interesting: 125 (total: 127)
fuzz: elapsed: 48s, execs: 953169 (28501/sec), new interesting: 127 (total: 129)
fuzz: elapsed: 51s, execs: 1031614 (26158/sec), new interesting: 127 (total: 129)
fuzz: elapsed: 54s, execs: 1113432 (27269/sec), new interesting: 128 (total: 130)
fuzz: elapsed: 57s, execs: 1198360 (28311/sec), new interesting: 128 (total: 130)
fuzz: elapsed: 1m0s, execs: 1283022 (28230/sec), new interesting: 128 (total: 130)
fuzz: elapsed: 1m3s, execs: 1384364 (33780/sec), new interesting: 128 (total: 130)
fuzz: elapsed: 1m6s, execs: 1463223 (26286/sec), new interesting: 128 (total: 130)
fuzz: elapsed: 1m9s, execs: 1538874 (25220/sec), new interesting: 128 (total: 130)
fuzz: elapsed: 1m12s, execs: 1631690 (30937/sec), new interesting: 128 (total: 130)
fuzz: elapsed: 1m15s, execs: 1787891 (52061/sec), new interesting: 128 (total: 130)
fuzz: elapsed: 1m18s, execs: 1950941 (54342/sec), new interesting: 128 (total: 130)
fuzz: elapsed: 1m21s, execs: 2063543 (37539/sec), new interesting: 128 (total: 130)
fuzz: elapsed: 1m24s, execs: 2177043 (37823/sec), new interesting: 128 (total: 130)
fuzz: elapsed: 1m27s, execs: 2323071 (48687/sec), new interesting: 128 (total: 130)
fuzz: elapsed: 1m30s, execs: 2472385 (49768/sec), new interesting: 128 (total: 130)
fuzz: elapsed: 1m33s, execs: 2577914 (35173/sec), new interesting: 128 (total: 130)
fuzz: elapsed: 1m36s, execs: 2650483 (24198/sec), new interesting: 129 (total: 131)
fuzz: elapsed: 1m39s, execs: 2719250 (22913/sec), new interesting: 129 (total: 131)
fuzz: elapsed: 1m42s, execs: 2778051 (19606/sec), new interesting: 130 (total: 132)
fuzz: elapsed: 1m45s, execs: 2855611 (25850/sec), new interesting: 131 (total: 133)
fuzz: elapsed: 1m48s, execs: 2932874 (25760/sec), new interesting: 131 (total: 133)
fuzz: elapsed: 1m51s, execs: 3047018 (38026/sec), new interesting: 131 (total: 133)
fuzz: elapsed: 1m54s, execs: 3177775 (43569/sec), new interesting: 131 (total: 133)
fuzz: elapsed: 1m57s, execs: 3283176 (35165/sec), new interesting: 131 (total: 133)
fuzz: elapsed: 2m0s, execs: 3399897 (38908/sec), new interesting: 131 (total: 133)
fuzz: elapsed: 2m3s, execs: 3531400 (43840/sec), new interesting: 131 (total: 133)
fuzz: elapsed: 2m6s, execs: 3663463 (44015/sec), new interesting: 131 (total: 133)
fuzz: elapsed: 2m9s, execs: 3740733 (25751/sec), new interesting: 131 (total: 133)
fuzz: elapsed: 2m12s, execs: 3800335 (19868/sec), new interesting: 131 (total: 133)
fuzz: elapsed: 2m15s, execs: 3866220 (21963/sec), new interesting: 131 (total: 133)
fuzz: elapsed: 2m18s, execs: 3965246 (33004/sec), new interesting: 131 (total: 133)
fuzz: elapsed: 2m21s, execs: 4071366 (35378/sec), new interesting: 131 (total: 133)
fuzz: elapsed: 2m24s, execs: 4228360 (52340/sec), new interesting: 133 (total: 135)
fuzz: elapsed: 2m27s, execs: 4399575 (57078/sec), new interesting: 134 (total: 136)
fuzz: elapsed: 2m30s, execs: 4581367 (60577/sec), new interesting: 134 (total: 136)
fuzz: elapsed: 2m33s, execs: 4773774 (64136/sec), new interesting: 134 (total: 136)
fuzz: elapsed: 2m36s, execs: 4964106 (63462/sec), new interesting: 134 (total: 136)
fuzz: elapsed: 2m39s, execs: 5143114 (59652/sec), new interesting: 134 (total: 136)
fuzz: elapsed: 2m42s, execs: 5324674 (60537/sec), new interesting: 134 (total: 136)
fuzz: elapsed: 2m45s, execs: 5512193 (62490/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 2m48s, execs: 5711682 (66496/sec), new interesting: 135 (total: 137)
