File: dedup-woven
Type: alloc_space
Time: 2026-09-23 17:58:32 CEST
Active filters:
   focus=iast/database/sql.Report
Showing nodes accounting for 3.55MB, 16.43% of 21.60MB total
Dropped 46 nodes (cum <= 0.11MB)
      flat  flat%   sum%        cum   cum%
         0     0%     0%     3.65MB 16.87%  database/sql.(*DB).QueryContext
         0     0%     0%     3.65MB 16.87%  github.com/DataDog/dd-iast-go/iast/database/sql.Report
         0     0%     0%     3.65MB 16.87%  github.com/DataDog/dd-iast-go/internal/taint/sqlbridge.Report
         0     0%     0%     3.65MB 16.87%  main.handle
         0     0%     0%     3.65MB 16.87%  main.main
         0     0%     0%     3.65MB 16.87%  runtime.main
         0     0%     0%     2.98MB 13.78%  github.com/DataDog/dd-iast-go/internal/vulnerability.ReportTainted
         0     0%     0%     2.71MB 12.54%  github.com/DataDog/dd-iast-go/internal/vulnerability.CaptureLocationSkipWhile
    0.01MB 0.068% 0.068%     2.46MB 11.38%  github.com/DataDog/dd-trace-go/v2/instrumentation.(*Instrumentation).CaptureStackTrace
    0.04MB  0.19%  0.26%     2.44MB 11.29%  github.com/DataDog/dd-trace-go/v2/internal/stacktrace.NewEvent
         0     0%  0.26%     2.40MB 11.10%  github.com/DataDog/dd-trace-go/v2/internal/stacktrace.SkipAndCaptureWithDepth
    0.98MB  4.52%  4.78%     1.32MB  6.12%  github.com/DataDog/dd-trace-go/v2/internal/stacktrace.(*framesIterator).capture
    0.08MB  0.36%  5.14%     1.07MB  4.97%  github.com/DataDog/dd-trace-go/v2/internal/stacktrace.iterator (inline)
       1MB  4.61%  9.75%        1MB  4.61%  github.com/DataDog/dd-trace-go/v2/internal/stacktrace.newQueue[go.shape.struct { PC uintptr; Func *runtime.Func; Function string; File string; Line int; runtime.startLine int; Entry uintptr; runtime.funcInfo runtime.funcInfo }] (inline)
    0.23MB  1.08% 10.84%     0.51MB  2.37%  github.com/DataDog/dd-iast-go/internal/taint/redaction.AnalyzeSQL
    0.27MB  1.27% 12.10%     0.27MB  1.27%  github.com/DataDog/dd-trace-go/v2/internal/stacktrace.newQueue[go.shape.struct { Text string "msg:\"text,omitempty\""; File string "msg:\"file,omitempty\""; Namespace string "msg:\"namespace,omitempty\""; ClassName string "msg:\"class_name,omitempty\""; Function string "msg:\"function,omitempty\""; Index uint32 "msg:\"id\""; Line uint32 "msg:\"line,omitempty\""; Column uint32 "msg:\"column,omitempty\"" }] (inline)
         0     0% 12.10%     0.26MB  1.22%  github.com/DataDog/dd-iast-go/internal/taint/redaction.scanSQLSegment
    0.26MB  1.22% 13.32%     0.26MB  1.22%  github.com/DataDog/go-sqllexer.New
         0     0% 13.32%     0.24MB  1.09%  github.com/DataDog/dd-iast-go/internal/taint/redaction.BuildWithSensitive
         0     0% 13.32%     0.19MB  0.86%  github.com/DataDog/dd-iast-go/internal/vulnerability.SkipWhile.firstApplicationFrame
    0.19MB  0.86% 14.18%     0.19MB  0.86%  github.com/DataDog/dd-iast-go/internal/vulnerability.SkipWhile.matchesNamespace (inline)
         0     0% 14.18%     0.16MB  0.72%  github.com/DataDog/dd-iast-go/internal/taint/evidence.CollectString
    0.10MB  0.45% 14.63%     0.15MB   0.7%  github.com/DataDog/dd-iast-go/internal/taint/evidence.(*collector).finish
    0.12MB  0.54% 15.18%     0.12MB  0.56%  github.com/DataDog/dd-iast-go/internal/taint/redaction.buildParts
         0     0% 15.18%     0.08MB  0.35%  github.com/DataDog/dd-iast-go/internal/taint/redaction.sourceSensitive
         0     0% 15.18%     0.08MB  0.35%  regexp.(*Regexp).MatchString
         0     0% 15.18%     0.08MB  0.35%  regexp.(*Regexp).backtrack
         0     0% 15.18%     0.08MB  0.35%  regexp.(*Regexp).doExecute
         0     0% 15.18%     0.08MB  0.35%  regexp.(*Regexp).doMatch (inline)
         0     0% 15.18%     0.07MB  0.34%  github.com/DataDog/dd-trace-go/v2/internal/stacktrace.(*framesIterator).Next
         0     0% 15.18%     0.07MB  0.34%  github.com/DataDog/dd-trace-go/v2/internal/stacktrace.(*framesIterator).next
    0.07MB  0.34% 15.52%     0.07MB  0.34%  github.com/DataDog/dd-trace-go/v2/internal/stacktrace.(*framesIterator).symbolicateFrames
    0.07MB  0.33% 15.84%     0.07MB  0.33%  regexp.(*bitState).reset
    0.04MB  0.18% 16.02%     0.04MB  0.18%  github.com/DataDog/dd-iast-go/internal/taint/redaction.buildWireSources
         0     0% 16.02%     0.04MB  0.18%  github.com/DataDog/dd-iast-go/internal/taint/evidence.(*Snapshot).canonicalize
    0.02MB  0.11% 16.13%     0.03MB  0.14%  github.com/DataDog/dd-iast-go/internal/vulnerability.locationFromTrace
    0.02MB  0.11% 16.25%     0.02MB  0.11%  github.com/DataDog/dd-iast-go/internal/taint/evidence.(*Snapshot).buildParts
    0.02MB  0.09% 16.34%     0.02MB  0.09%  github.com/DataDog/dd-iast-go/internal/model.NewEvidenceTaintedValue (inline)
         0     0% 16.34%     0.02MB  0.09%  github.com/google/uuid.NewString
    0.02MB  0.09% 16.43%     0.02MB  0.09%  internal/stringslite.Clone (inline)
         0     0% 16.43%     0.02MB  0.09%  strings.Clone (inline)
