0.1s tree=35MB top=[(32, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
1.2s tree=38MB top=[(36, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
2.4s tree=76MB top=[(49, ('orchestrion:tool orchestrion', '')), (15, ('(compile)', '')), (4, ('(asm)', ''))]
3.5s tree=184MB top=[(128, ('compile', 'runtime')), (53, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
4.6s tree=58MB top=[(54, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('(go)', ''))]
5.9s tree=240MB top=[(78, ('(compile)', '')), (55, ('orchestrion:tool orchestrion', '')), (37, ('(compile)', ''))]
7.1s tree=624MB top=[(123, ('compile', 'net')), (112, ('(compile)', '')), (107, ('compile', 'encoding/json'))]
8.6s tree=729MB top=[(126, ('(compile)', '')), (98, ('(compile)', '')), (96, ('(compile)', ''))]
10.1s tree=1198MB top=[(146, ('(compile)', '')), (144, ('compile', 'go.opentelemetry.io/collector/pdata/internal')), (130, ('compile', 'crypto/tls'))]
11.5s tree=508MB top=[(103, ('(compile)', '')), (88, ('(compile)', '')), (82, ('compile', 'net/http'))]
12.6s tree=445MB top=[(198, ('compile', 'net/http')), (182, ('(compile)', '')), (61, ('orchestrion:tool orchestrion', ''))]
13.9s tree=471MB top=[(158, ('compile', 'github.com/nats-io/nats-server/v2/server')), (152, ('(compile)', '')), (62, ('orchestrion:tool orchestrion', ''))]
15.0s tree=428MB top=[(231, ('compile', 'github.com/nats-io/nats-server/v2/server')), (131, ('(compile)', '')), (62, ('orchestrion:tool orchestrion', ''))]
16.2s tree=475MB top=[(332, ('compile', 'github.com/nats-io/nats-server/v2/server')), (62, ('orchestrion:tool orchestrion', '')), (40, ('(compile)', ''))]
17.3s tree=660MB top=[(595, ('compile', 'github.com/nats-io/nats-server/v2/server')), (62, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
18.4s tree=945MB top=[(880, ('compile', 'github.com/nats-io/nats-server/v2/server')), (62, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
19.5s tree=210MB top=[(145, ('link', '')), (62, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
20.6s tree=64MB top=[(62, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
21.7s tree=149MB top=[(62, ('orchestrion:tool orchestrion', '')), (31, ('orchestrion:go build', '')), (26, ('orchestrion:build -toolexec', ''))]
22.8s tree=549MB top=[(62, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', '')), (29, ('orchestrion:build -toolexec', ''))]
24.5s tree=580MB top=[(62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', '')), (38, ('orchestrion:', ''))]
25.5s tree=404MB top=[(264, ('orchestrion-toolexec/compile', 'runtime')), (62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', ''))]
26.6s tree=730MB top=[(312, ('compile', 'runtime')), (278, ('orchestrion-toolexec/compile', 'runtime')), (62, ('orchestrion:tool orchestrion', ''))]
27.7s tree=388MB top=[(62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', '')), (37, ('orchestrion-toolexec/compile', 'internal/testlog'))]
28.9s tree=519MB top=[(124, ('(compile)', '')), (62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', ''))]
30.1s tree=304MB top=[(62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', '')), (37, ('orchestrion:', ''))]
31.2s tree=163MB top=[(62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', '')), (31, ('orchestrion:build -toolexec', ''))]
32.3s tree=298MB top=[(62, ('orchestrion:tool orchestrion', '')), (53, ('orchestrion-toolexec/compile', 'encoding/json')), (44, ('orchestrion:go build', ''))]
