0.1s tree=35MB top=[(32, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
1.2s tree=39MB top=[(37, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
2.3s tree=114MB top=[(53, ('orchestrion:tool orchestrion', '')), (48, ('(compile)', '')), (10, ('(compile)', ''))]
3.3s tree=56MB top=[(53, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
4.7s tree=281MB top=[(58, ('compile', 'time')), (56, ('orchestrion:tool orchestrion', '')), (48, ('(compile)', ''))]
6.5s tree=409MB top=[(84, ('compile', 'net')), (78, ('(compile)', '')), (75, ('(compile)', ''))]
8.0s tree=871MB top=[(127, ('(compile)', '')), (109, ('(compile)', '')), (105, ('(compile)', ''))]
9.4s tree=1107MB top=[(191, ('(compile)', '')), (118, ('(compile)', '')), (117, ('(compile)', ''))]
10.9s tree=417MB top=[(142, ('(compile)', '')), (93, ('(compile)', '')), (60, ('orchestrion:tool orchestrion', ''))]
12.1s tree=382MB top=[(68, ('compile', 'github.com/xeipuuv/gojsonschema')), (66, ('compile', 'github.com/nats-io/nats.go')), (60, ('orchestrion:tool orchestrion', ''))]
13.4s tree=552MB top=[(235, ('compile', 'github.com/nats-io/nats-server/v2/server')), (71, ('(compile)', '')), (60, ('orchestrion:tool orchestrion', ''))]
14.5s tree=556MB top=[(375, ('compile', 'github.com/nats-io/nats-server/v2/server')), (117, ('compile', 'github.com/DataDog/dd-trace-go/v2/ddtrace/tracer')), (60, ('orchestrion:tool orchestrion', ''))]
15.6s tree=799MB top=[(736, ('compile', 'github.com/nats-io/nats-server/v2/server')), (60, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
16.7s tree=63MB top=[(60, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
17.7s tree=743MB top=[(543, ('link', '')), (121, ('orchestrion:-demangle -lto_library', '')), (60, ('orchestrion:tool orchestrion', ''))]
18.8s tree=117MB top=[(60, ('orchestrion:tool orchestrion', '')), (29, ('orchestrion:go build', '')), (24, ('orchestrion:build -toolexec', ''))]
19.9s tree=578MB top=[(60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', '')), (30, ('(go)', ''))]
21.0s tree=418MB top=[(60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', '')), (38, ('orchestrion:', ''))]
22.1s tree=352MB top=[(217, ('orchestrion-toolexec/compile', 'runtime')), (60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', ''))]
23.2s tree=159MB top=[(60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', '')), (29, ('orchestrion:build -toolexec', ''))]
24.3s tree=230MB top=[(60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', '')), (39, ('orchestrion-toolexec/compile', 'io'))]
25.4s tree=339MB top=[(63, ('(compile)', '')), (60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', ''))]
26.6s tree=437MB top=[(60, ('orchestrion:tool orchestrion', '')), (50, ('orchestrion-toolexec/compile', 'encoding/json')), (43, ('orchestrion:go build', ''))]
27.6s tree=373MB top=[(82, ('(compile)', '')), (60, ('orchestrion:tool orchestrion', '')), (45, ('orchestrion-toolexec/compile', 'main'))]
29.0s tree=673MB top=[(60, ('orchestrion:tool orchestrion', '')), (48, ('orchestrion-toolexec/other', '')), (45, ('orchestrion-toolexec/compile', 'main'))]
31.0s tree=996MB top=[(92, ('(compile)', '')), (77, ('compile', 'net')), (60, ('orchestrion:tool orchestrion', ''))]
33.0s tree=724MB top=[(60, ('orchestrion:tool orchestrion', '')), (49, ('orchestrion-toolexec/other', '')), (45, ('orchestrion-toolexec/compile', 'main'))]
34.9s tree=870MB top=[(116, ('(compile)', '')), (60, ('orchestrion:tool orchestrion', '')), (49, ('orchestrion-toolexec/other', ''))]
36.2s tree=1078MB top=[(135, ('orchestrion-toolexec/compile', 'go.opentelemetry.io/collector/pdata/internal')), (99, ('compile', 'google.golang.org/protobuf/internal/impl')), (90, ('compile', 'go.opentelemetry.io/collector/pdata/internal'))]
37.5s tree=461MB top=[(87, ('compile', 'crypto/tls')), (60, ('orchestrion:tool orchestrion', '')), (49, ('orchestrion-toolexec/other', ''))]
38.6s tree=566MB top=[(151, ('orchestrion-toolexec/compile', 'net/http')), (142, ('(compile)', '')), (60, ('orchestrion:tool orchestrion', ''))]
39.7s tree=238MB top=[(60, ('orchestrion:tool orchestrion', '')), (49, ('orchestrion-toolexec/other', '')), (45, ('orchestrion:go build', ''))]
40.9s tree=497MB top=[(60, ('orchestrion:tool orchestrion', '')), (50, ('orchestrion-toolexec/other', '')), (45, ('orchestrion:go build', ''))]
42.0s tree=233MB top=[(60, ('orchestrion:tool orchestrion', '')), (50, ('orchestrion-toolexec/other', '')), (46, ('orchestrion:go build', ''))]
