0.1s tree=34MB top=[(31, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
1.2s tree=37MB top=[(35, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
2.2s tree=80MB top=[(52, ('orchestrion:tool orchestrion', '')), (20, ('(compile)', '')), (4, ('(compile)', ''))]
3.4s tree=201MB top=[(143, ('compile', 'runtime')), (55, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
4.8s tree=295MB top=[(55, ('orchestrion:tool orchestrion', '')), (51, ('(compile)', '')), (42, ('(compile)', ''))]
6.2s tree=449MB top=[(124, ('compile', 'net')), (92, ('(compile)', '')), (58, ('orchestrion:tool orchestrion', ''))]
8.1s tree=835MB top=[(115, ('(compile)', '')), (108, ('(compile)', '')), (93, ('(compile)', ''))]
9.4s tree=925MB top=[(138, ('compile', 'crypto/tls')), (131, ('compile', 'google.golang.org/protobuf/internal/impl')), (97, ('(compile)', ''))]
10.6s tree=798MB top=[(181, ('compile', 'go.opentelemetry.io/collector/pdata/internal')), (172, ('compile', 'go/types')), (147, ('(compile)', ''))]
12.2s tree=273MB top=[(101, ('(compile)', '')), (59, ('orchestrion:tool orchestrion', '')), (45, ('(compile)', ''))]
13.5s tree=359MB top=[(229, ('compile', 'github.com/nats-io/nats-server/v2/server')), (60, ('(compile)', '')), (59, ('orchestrion:tool orchestrion', ''))]
14.7s tree=346MB top=[(284, ('compile', 'github.com/nats-io/nats-server/v2/server')), (59, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
15.9s tree=787MB top=[(553, ('compile', 'github.com/nats-io/nats-server/v2/server')), (99, ('(compile)', '')), (72, ('(compile)', ''))]
17.0s tree=889MB top=[(827, ('compile', 'github.com/nats-io/nats-server/v2/server')), (59, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
18.1s tree=62MB top=[(59, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
19.2s tree=606MB top=[(543, ('link', '')), (59, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
20.2s tree=62MB top=[(59, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
21.4s tree=150MB top=[(59, ('orchestrion:tool orchestrion', '')), (32, ('orchestrion:build -toolexec', '')), (31, ('orchestrion:go build', ''))]
22.6s tree=556MB top=[(59, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', '')), (35, ('orchestrion:build -toolexec', ''))]
23.7s tree=584MB top=[(59, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', '')), (36, ('orchestrion:build -toolexec', ''))]
24.9s tree=280MB top=[(59, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', '')), (39, ('orchestrion-toolexec/compile', 'golang.org/x/exp/trace/internal/tracev2'))]
26.0s tree=491MB top=[(260, ('orchestrion-toolexec/compile', 'runtime')), (85, ('compile', 'runtime')), (59, ('orchestrion:tool orchestrion', ''))]
27.1s tree=149MB top=[(59, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', '')), (38, ('orchestrion:build -toolexec', ''))]
28.5s tree=711MB top=[(59, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', '')), (39, ('orchestrion:build -toolexec', ''))]
30.0s tree=758MB top=[(92, ('(compile)', '')), (59, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', ''))]
32.0s tree=912MB top=[(74, ('compile', 'net')), (59, ('orchestrion:tool orchestrion', '')), (53, ('orchestrion-toolexec/compile', 'golang.org/x/exp/rand'))]
34.6s tree=1093MB top=[(143, ('(compile)', '')), (59, ('orchestrion:tool orchestrion', '')), (53, ('orchestrion-toolexec/compile', 'golang.org/x/exp/rand'))]
