concat-mutate-local          "CHANGED|f" | order=[]
concat-mutate-local-3        "CHANGED|fCHANGED" | order=[]
concat-mutate-field          "CHANGED|f" | order=[]
concat-mutate-map            "CHANGED|f" | order=[]
concat-mutate-global         "CHANGED|f" | order=[]
concat-order-calls           "abc" | order=[a b c]
concat-panic-order           PANIC string: p | order=[a]
concat-named                 "main.named:nm-nm" | order=[]
concat-untyped-mix           "axbcc1c2" | order=[]
slice-low-mutate             "Y" | order=[]
slice-high-mutate            "XYZ" | order=[]
slice-bounds-order           PANIC runtime.boundsError: runtime error: slice bounds out of range [:9] with length 6 | order=[lo hi]
slice-bytes-mutate           "ZW" | order=[]
slice-bytes-full-order       "bc2 3" | order=[lo hi max]
slice-bytes-alias            "aZcdef" | order=[]
slice-field-mutate           "Y" | order=[]
slice-oob                    PANIC runtime.boundsError: runtime error: slice bounds out of range [5:3] | order=[]
slice-oob-uint8              PANIC runtime.boundsError: runtime error: slice bounds out of range [:200] with length 3 | order=[]
slice-inverted               PANIC runtime.boundsError: runtime error: slice bounds out of range [2:1] | order=[]
slice-named                  "main.named:bc" | order=[]
slice-rune-const             "3" | order=[]
conv-mutate-after            "abcdef" | order=[]
conv-named                   "main.named:abcd" | order=[]
conv-nil                     "true" | order=[]
split-mutate                 "[x y]" | order=[]
replace-order                "bba" | order=[aaa a b n]
repeat-neg                   PANIC string: strings: negative Repeat count | order=[]
repeat-overflow              PANIC string: strings: Repeat output length overflow | order=[]
replacer-nil                 PANIC runtime.errorString: runtime error: invalid memory address or nil pointer dereference | order=[]
replacer-value               "bbb" | order=[]
sprintf-stringer-count       "C zz1" | order=[]
sprint-panic-stringer        "aa%!v(PANIC=String method: boom)" | order=[]
unescape-err                 "invalid URL escape \"%zz\"" | order=[]
unquote-err                  "invalid syntax" | order=[]
seq-break                    "[a b]" | order=[]
lines-panic-body             PANIC string: body a
 | order=[]
fieldsfunc-count             "[a b c] 6" | order=[]
tovalid                      "a??b??" | order=[]
toupper-special              "ß�İǄ" | order=[]
