phase,requests,heap_alloc,heap_inuse,heap_objects,heap_sys,heap_released,stack_inuse,sys,goroutines,numgc,reports,iast_enabled_spans,tainted_hits,permits_used,live_slots,store_values,store_charged,acquire_drops,tombstones,overflow_free,annotations,event_source_bytes,owner_bindings,failures,probe_hits_of_200,elapsed_s
start,0,20710552,22282240,12451,36929536,9125888,786432,45053488,15,6,0,0,0,0,0,0,0,0,0,256,0,0,0,0,43,0.0
warm,10000,26074368,28942336,14158,84410368,32317440,3670016,97875504,15,19,0,0,471,0,0,0,0,1,334,256,0,0,0,0,59,0.6
soak,20000,26183960,29204480,14619,84017152,29073408,4063232,97875504,15,29,0,0,509,0,0,0,0,2,2136,256,0,0,0,0,55,1.3
soak,30000,26243896,29417472,14916,84246528,24993792,3833856,97875504,15,39,0,0,604,0,0,0,0,7,4781,256,0,0,0,0,49,1.9
soak,40000,26254520,29253632,14695,104857600,40607744,4194304,119178816,15,50,0,0,550,0,0,0,0,7,818,256,0,0,0,0,59,3.0
soak,50000,26218568,28925952,14628,105054208,45850624,3997696,119178816,15,61,0,0,470,0,0,0,0,11,1377,256,0,0,0,0,72,3.8
soak,60000,25721000,28221440,14487,104988672,49922048,4063232,119178816,15,72,0,0,592,0,0,0,0,13,3798,256,0,0,0,0,56,4.7
soak,70000,26323744,29483008,14759,105218048,44392448,3833856,119178816,15,83,0,0,624,0,0,0,0,15,2276,256,0,0,0,0,66,5.6
soak,80000,25969584,28647424,14604,105185280,53403648,3866624,119178816,15,94,0,0,622,0,0,0,0,19,1385,256,0,0,0,0,53,6.5
soak,90000,26272008,29253632,14835,105218048,50921472,3833856,119178816,15,105,0,0,661,0,0,0,0,21,3478,256,0,0,0,0,62,7.4
soak,100000,24899064,28098560,14983,104726528,60809216,4325376,119178816,15,115,0,0,472,0,0,0,0,22,2751,256,0,0,0,0,64,8.2
soak,110000,26258904,29130752,14735,104759296,49979392,4292608,119440960,15,127,0,0,611,0,0,0,0,25,1238,256,0,0,0,0,60,9.1
soak,120000,26313640,29573120,15204,104923136,44417024,4128768,119440960,15,137,0,0,451,0,0,0,0,26,2480,256,0,0,0,0,54,9.8
soak,130000,25395504,28467200,14898,105119744,45285376,3932160,119440960,15,147,0,0,405,0,0,0,0,26,3397,256,0,0,0,0,65,10.4
soak,140000,26325008,29671424,14866,105349120,49086464,3702784,119440960,15,159,0,0,443,0,0,0,0,26,2540,256,0,0,0,0,64,11.0
soak,150000,26291296,29294592,14735,105119744,54788096,3932160,119440960,15,169,0,0,483,0,0,0,0,27,1469,256,0,0,0,0,83,11.7
soak,160000,26833288,29679616,14687,105054208,49291264,3997696,119440960,15,180,0,0,540,0,0,0,0,28,2823,256,0,0,0,0,63,12.4
soak,170000,26292600,29417472,14951,104890368,47276032,4161536,119440960,15,190,0,0,508,0,0,0,0,29,2885,256,0,0,0,0,58,13.2
soak,180000,25890184,29016064,15140,104497152,40935424,4554752,119440960,15,200,0,0,539,0,0,0,0,30,2084,256,0,0,0,0,52,14.0
soak,190000,26317560,29671424,15176,104857600,52346880,4194304,119440960,15,211,0,0,720,0,0,0,0,31,2512,256,0,0,0,0,61,15.1
soak,200000,21309696,24592384,14946,105021440,42393600,4030464,119440960,15,221,0,0,543,0,0,0,0,32,2940,256,0,0,0,0,57,16.0
soak,210000,26331800,29564928,14880,105119744,62332928,3932160,119440960,15,233,0,0,526,0,0,0,0,33,2236,256,0,0,0,0,58,16.8
# panics=13125 late=13125 failures=0
