phase,requests,heap_alloc,heap_inuse,heap_objects,heap_sys,heap_released,stack_inuse,sys,goroutines,numgc,reports,iast_enabled_spans,tainted_hits,permits_used,live_slots,store_values,store_charged,acquire_drops,tombstones,overflow_free,annotations,event_source_bytes,owner_bindings,failures,probe_hits_of_200,elapsed_s
start,0,15689264,17563648,7854,32833536,10346496,720896,40592928,6,6,97,97,0,0,0,0,0,0,1,256,0,0,0,0,97,0.0
warm,10000,16178024,19152896,9478,76087296,25231360,3604480,89486896,6,29,2058,2892,1887,0,0,0,0,38,3055,256,0,0,0,0,101,1.0
warm,20000,16292240,19578880,10085,75890688,7004160,3801088,89486896,6,50,2106,2911,1945,0,0,0,0,79,2593,256,0,0,0,0,98,2.0
soak,30000,16304544,19578880,10110,76054528,18300928,3637248,89486896,6,73,2374,3296,2151,0,0,0,0,116,2113,256,0,0,0,0,98,3.1
soak,40000,16353248,19783680,10444,75792384,26361856,3899392,89486896,6,96,2288,3360,2105,0,0,0,0,155,1929,256,0,0,0,0,112,4.3
soak,50000,16303104,19382272,9871,76185600,15679488,3506176,89486896,6,118,2199,3136,1992,0,0,0,0,216,2068,256,0,0,0,0,92,5.4
soak,60000,16316944,19193856,9870,76021760,37273600,3637248,89486896,6,144,2537,4009,2386,0,0,0,0,394,2313,256,0,0,0,0,96,7.4
soak,70000,16371072,19709952,10450,75530240,35659776,4161536,89486896,6,167,2484,4108,2421,0,0,0,0,429,2530,256,0,0,0,0,103,9.5
soak,80000,16357680,19668992,10096,75661312,29728768,4030464,89486896,6,189,2268,3380,2079,0,0,0,0,448,2458,256,0,0,0,0,108,10.9
soak,90000,16352880,19693568,10063,84279296,23658496,3801088,97875504,6,207,2059,3200,1937,0,0,0,0,474,2750,256,0,0,0,0,110,12.7
soak,100000,16357696,19546112,10068,88145920,26255360,4128768,102069808,6,227,2333,3492,2147,0,0,0,0,511,2496,256,0,0,0,0,93,14.7
soak,110000,16404208,20062208,10594,87916544,33284096,4358144,102069808,6,246,2294,3269,2046,0,0,0,0,532,2475,256,0,0,0,0,103,16.7
soak,120000,16378080,19677184,10233,88342528,35577856,3932160,102069808,6,267,2320,3328,2120,0,0,0,0,575,2226,256,0,0,0,0,96,18.3
soak,130000,16358832,19357696,9954,88276992,26353664,3997696,102069808,6,288,2093,3376,2051,0,0,0,0,632,2553,256,0,0,0,0,107,19.9
soak,140000,16424080,20070400,10677,88342528,27164672,3932160,102069808,6,308,1942,2941,1819,0,0,0,0,655,2639,256,0,0,0,0,99,21.2
soak,150000,16441768,20340736,10550,88178688,32243712,4096000,102069808,6,330,2215,3413,2035,0,0,0,0,730,2467,256,0,0,0,0,110,22.3
soak,160000,16408096,20127744,10489,88178688,33824768,4096000,102069808,6,350,1996,3239,1912,0,0,0,0,760,2280,256,0,0,0,0,107,23.4
soak,170000,16393776,19529728,10101,88375296,34906112,3899392,102069808,6,372,2190,3411,2060,0,0,0,0,790,2572,256,0,0,0,0,92,24.6
soak,180000,16436352,19890176,10148,88506368,30285824,3768320,102069808,6,394,1897,3048,1882,0,0,0,0,826,2445,256,0,0,0,0,108,25.7
soak,190000,16366224,19357696,9966,88768512,38567936,3506176,102069808,6,416,2068,2999,1929,0,0,0,0,863,2577,256,0,0,0,0,90,26.7
soak,200000,16439616,20054016,10282,88801280,34275328,3473408,102069808,6,439,2140,3028,1906,0,0,0,0,916,2474,256,0,0,0,0,112,27.6
soak,210000,16368720,19390464,9915,88735744,37666816,3538944,102069808,6,461,2354,3128,2008,0,0,0,0,962,2464,256,0,0,0,0,108,28.6
soak,220000,16486832,20471808,10297,88637440,40263680,3637248,102069808,6,484,2365,3947,2247,0,0,0,0,995,2517,256,0,0,0,0,97,29.8
soak,230000,16438816,20103168,10482,88702976,26296320,3571712,102069808,6,506,2403,3595,2226,0,0,0,0,1030,2604,256,0,0,0,0,97,30.9
soak,240000,16442368,19939328,10191,88539136,31309824,3735552,102069808,6,526,1929,3026,1931,0,0,0,0,1052,2678,256,0,0,0,0,90,31.9
soak,250000,16432416,20152320,10468,88604672,36962304,3670016,102069808,6,549,2454,3615,2224,0,0,0,0,1080,2510,256,0,0,0,0,99,33.1
soak,260000,16362064,19488768,9942,88702976,31539200,3571712,102069808,6,572,2147,3461,2056,0,0,0,0,1111,2359,256,0,0,0,0,103,34.2
soak,270000,16373536,19685376,10100,88342528,33832960,3932160,102069808,6,593,1869,2766,1727,0,0,0,0,1139,2373,256,0,0,0,0,107,35.3
soak,280000,16354592,19341312,9853,88473600,39329792,3801088,102069808,6,617,2635,4044,2423,0,0,0,0,1239,2512,256,0,0,0,0,107,36.6
soak,290000,16393840,19988480,10240,88670208,34119680,3604480,102069808,6,640,2448,3596,2241,0,0,0,0,1279,2777,256,0,0,0,0,97,37.6
soak,300000,16385952,19824640,10062,88571904,41115648,3702784,102069808,6,663,2304,3526,2126,0,0,0,0,1303,2450,256,0,0,0,0,108,38.8
soak,310000,16366272,19628032,10000,88866816,40189952,3407872,102069808,6,685,2251,3347,2082,0,0,0,0,1350,2612,256,0,0,0,0,109,39.8
soak,320000,16361680,19283968,9914,88571904,37904384,3702784,102069808,6,706,2122,3123,1993,0,0,0,0,1384,2913,256,0,0,0,0,108,40.9
# panics=20000 late=20000 failures=0
