phase,requests,heap_alloc,heap_inuse,heap_objects,heap_sys,heap_released,stack_inuse,sys,goroutines,numgc,reports,iast_enabled_spans,tainted_hits,permits_used,live_slots,store_values,store_charged,acquire_drops,tombstones,overflow_free,annotations,event_source_bytes,owner_bindings,failures,probe_hits_of_200,elapsed_s
start,0,21374152,23240704,12472,36929536,4358144,819200,44824112,15,6,0,0,0,0,0,0,0,0,2,256,0,0,0,0,87,0.0
warm,10000,26046872,29089792,14150,80379904,34824192,3506176,93750848,15,25,0,0,1919,0,0,0,0,33,2910,256,0,0,0,0,106,0.7
warm,20000,26120824,29433856,14486,88473600,31342592,3801088,102139456,15,41,0,0,1786,0,0,0,0,51,3284,256,0,0,0,0,99,1.5
soak,30000,26124136,29310976,14503,88211456,24420352,4063232,102401600,15,58,0,0,2050,0,0,0,0,78,2811,256,0,0,0,0,117,2.4
soak,40000,26200424,29212672,14530,87883776,36421632,4390912,102663744,15,73,0,0,1798,0,0,0,0,102,3052,256,0,0,0,0,101,3.4
soak,50000,26213768,29360128,14687,96305152,30285824,4358144,111052352,15,91,0,0,2327,0,0,0,0,137,2357,256,0,0,0,0,96,4.5
soak,60000,26233720,29589504,14909,96796672,33759232,3801088,111052352,15,107,0,0,2056,0,0,0,0,162,2334,256,0,0,0,0,97,5.5
soak,70000,26250680,29786112,15070,96731136,40050688,3932160,111052352,15,125,0,0,2064,0,0,0,0,181,2479,256,0,0,0,0,111,6.6
soak,80000,26205752,29155328,14493,96894976,46882816,3768320,111052352,15,145,0,0,2562,0,0,0,0,210,2478,256,0,0,0,0,102,7.8
soak,90000,26236872,29433856,14828,97058816,37789696,3604480,111052352,15,161,0,0,1929,0,0,0,0,225,2388,256,0,0,0,0,99,8.8
soak,100000,26267528,29736960,15024,96698368,42090496,3964928,111052352,15,177,0,0,1995,0,0,0,0,252,2519,256,0,0,0,0,120,9.9
soak,110000,26245264,29564928,14835,97026048,32808960,3637248,111052352,15,193,0,0,2048,0,0,0,0,272,2546,256,0,0,0,0,99,10.9
soak,120000,26254528,29663232,14847,97091584,58744832,3571712,111052352,15,210,0,0,1897,0,0,0,0,293,2585,256,0,0,0,0,99,11.8
soak,130000,26352024,30040064,14999,96862208,42426368,3801088,111052352,15,226,0,0,1874,0,0,0,0,351,2453,256,0,0,0,0,106,12.9
soak,140000,26252104,29589504,14809,97222656,51724288,3440640,111052352,15,244,0,0,2453,0,0,0,0,378,2603,256,0,0,0,0,92,14.0
soak,150000,26237976,29573120,14656,96927744,40206336,3735552,111052352,15,260,0,0,2032,0,0,0,0,412,2384,256,0,0,0,0,106,14.8
soak,160000,26238536,29466624,14728,96993280,43761664,3670016,111052352,15,276,0,0,1891,0,0,0,0,456,2299,256,0,0,0,0,96,15.7
soak,170000,26239640,29646848,14679,97320960,41304064,3342336,111052352,15,293,0,0,1737,0,0,0,0,485,2469,256,0,0,0,0,90,16.5
soak,180000,26289640,29859840,14948,97091584,53608448,3571712,111052352,15,311,0,0,2094,0,0,0,0,515,2782,256,0,0,0,0,100,17.4
soak,190000,26235480,29687808,14556,96894976,33890304,3768320,111052352,15,327,0,0,2108,0,0,0,0,542,2620,256,0,0,0,0,103,18.5
soak,200000,26248888,29892608,14817,96632832,45129728,4030464,111052352,15,344,0,0,1874,0,0,0,0,570,2457,256,0,0,0,0,93,19.3
soak,210000,26265456,29630464,14588,96600064,35282944,4063232,111052352,15,360,0,0,2106,0,0,0,0,611,2567,256,0,0,0,0,112,20.5
soak,220000,26245008,29564928,14592,96698368,47366144,3964928,111052352,15,375,0,0,1700,0,0,0,0,623,2461,256,0,0,0,0,98,21.7
# panics=13750 late=13750 failures=0
