go version go1.26.6 darwin/arm64
fuzz: elapsed: 0s, gathering baseline coverage: 0/4 completed
fuzz: elapsed: 0s, gathering baseline coverage: 4/4 completed, now fuzzing with 2 workers
fuzz: elapsed: 3s, execs: 17037 (5678/sec), new interesting: 57 (total: 61)
fuzz: elapsed: 6s, execs: 32604 (5189/sec), new interesting: 124 (total: 128)
fuzz: elapsed: 9s, execs: 49991 (5794/sec), new interesting: 172 (total: 176)
fuzz: elapsed: 12s, execs: 65234 (5082/sec), new interesting: 206 (total: 210)
fuzz: elapsed: 15s, execs: 81355 (5372/sec), new interesting: 223 (total: 227)
fuzz: elapsed: 18s, execs: 98085 (5577/sec), new interesting: 229 (total: 233)
fuzz: elapsed: 21s, execs: 241802 (47912/sec), new interesting: 238 (total: 242)
fuzz: elapsed: 24s, execs: 275003 (11067/sec), new interesting: 243 (total: 247)
fuzz: elapsed: 27s, execs: 307415 (10806/sec), new interesting: 252 (total: 256)
fuzz: elapsed: 30s, execs: 340485 (11021/sec), new interesting: 258 (total: 262)
fuzz: elapsed: 33s, execs: 373085 (10839/sec), new interesting: 260 (total: 264)
fuzz: elapsed: 36s, execs: 404200 (10398/sec), new interesting: 263 (total: 267)
fuzz: elapsed: 39s, execs: 436628 (10812/sec), new interesting: 266 (total: 270)
fuzz: elapsed: 42s, execs: 460057 (7807/sec), new interesting: 270 (total: 274)
fuzz: elapsed: 45s, execs: 485276 (8409/sec), new interesting: 271 (total: 275)
fuzz: elapsed: 48s, execs: 511023 (8558/sec), new interesting: 272 (total: 276)
fuzz: elapsed: 51s, execs: 533814 (7618/sec), new interesting: 272 (total: 276)
fuzz: elapsed: 54s, execs: 553483 (6557/sec), new interesting: 275 (total: 279)
fuzz: elapsed: 57s, execs: 569790 (5434/sec), new interesting: 276 (total: 280)
fuzz: elapsed: 1m0s, execs: 575981 (2064/sec), new interesting: 276 (total: 280)
fuzz: elapsed: 1m3s, execs: 581891 (1971/sec), new interesting: 276 (total: 280)
fuzz: elapsed: 1m6s, execs: 593231 (3778/sec), new interesting: 276 (total: 280)
fuzz: elapsed: 1m9s, execs: 610230 (5628/sec), new interesting: 276 (total: 280)
fuzz: elapsed: 1m12s, execs: 635554 (8500/sec), new interesting: 277 (total: 281)
fuzz: elapsed: 1m15s, execs: 658293 (7583/sec), new interesting: 278 (total: 282)
fuzz: elapsed: 1m18s, execs: 680518 (7407/sec), new interesting: 280 (total: 284)
fuzz: elapsed: 1m21s, execs: 707484 (8988/sec), new interesting: 281 (total: 285)
fuzz: elapsed: 1m24s, execs: 736273 (9596/sec), new interesting: 281 (total: 285)
fuzz: elapsed: 1m27s, execs: 762962 (8897/sec), new interesting: 284 (total: 288)
fuzz: elapsed: 1m30s, execs: 769129 (2054/sec), new interesting: 284 (total: 288)
fuzz: elapsed: 1m33s, execs: 793870 (8247/sec), new interesting: 286 (total: 290)
fuzz: elapsed: 1m36s, execs: 800317 (2150/sec), new interesting: 286 (total: 290)
fuzz: elapsed: 1m39s, execs: 806499 (2061/sec), new interesting: 286 (total: 290)
fuzz: elapsed: 1m42s, execs: 813790 (2430/sec), new interesting: 286 (total: 290)
fuzz: elapsed: 1m45s, execs: 818174 (1461/sec), new interesting: 286 (total: 290)
fuzz: elapsed: 1m48s, execs: 823927 (1918/sec), new interesting: 287 (total: 291)
fuzz: elapsed: 1m51s, execs: 832854 (2978/sec), new interesting: 287 (total: 291)
fuzz: elapsed: 1m54s, execs: 841571 (2905/sec), new interesting: 287 (total: 291)
fuzz: elapsed: 1m57s, execs: 850942 (3123/sec), new interesting: 287 (total: 291)
fuzz: elapsed: 2m0s, execs: 865824 (4962/sec), new interesting: 287 (total: 291)
fuzz: elapsed: 2m3s, execs: 890683 (8289/sec), new interesting: 290 (total: 294)
fuzz: elapsed: 2m6s, execs: 916548 (8619/sec), new interesting: 290 (total: 294)
fuzz: elapsed: 2m9s, execs: 948149 (10536/sec), new interesting: 290 (total: 294)
fuzz: elapsed: 2m12s, execs: 980779 (10877/sec), new interesting: 290 (total: 294)
fuzz: elapsed: 2m15s, execs: 1013891 (11038/sec), new interesting: 292 (total: 296)
fuzz: elapsed: 2m18s, execs: 1045525 (10523/sec), new interesting: 292 (total: 296)
fuzz: elapsed: 2m21s, execs: 1073016 (9182/sec), new interesting: 292 (total: 296)
fuzz: elapsed: 2m24s, execs: 1092145 (6375/sec), new interesting: 292 (total: 296)
fuzz: elapsed: 2m27s, execs: 1119290 (8974/sec), new interesting: 293 (total: 297)
fuzz: elapsed: 2m30s, execs: 1148068 (9662/sec), new interesting: 294 (total: 298)
fuzz: elapsed: 2m33s, execs: 1172610 (8191/sec), new interesting: 294 (total: 298)
