go version go1.26.6 darwin/arm64
fuzz: elapsed: 1s, gathering baseline coverage: 0/1178 completed
fuzz: elapsed: 2s, gathering baseline coverage: 1178/1178 completed, now fuzzing with 2 workers
fuzz: elapsed: 4s, execs: 10956 (3651/sec), new interesting: 15 (total: 1193)
fuzz: elapsed: 7s, execs: 38524 (9189/sec), new interesting: 22 (total: 1200)
fuzz: elapsed: 10s, execs: 66465 (9316/sec), new interesting: 29 (total: 1207)
fuzz: elapsed: 13s, execs: 95190 (9573/sec), new interesting: 34 (total: 1212)
fuzz: elapsed: 16s, execs: 122171 (8994/sec), new interesting: 40 (total: 1218)
fuzz: elapsed: 19s, execs: 148991 (8940/sec), new interesting: 43 (total: 1221)
fuzz: elapsed: 22s, execs: 175747 (8919/sec), new interesting: 49 (total: 1227)
fuzz: elapsed: 25s, execs: 201797 (8684/sec), new interesting: 55 (total: 1233)
fuzz: elapsed: 28s, execs: 228285 (8829/sec), new interesting: 61 (total: 1239)
fuzz: elapsed: 31s, execs: 256618 (9443/sec), new interesting: 68 (total: 1246)
fuzz: elapsed: 34s, execs: 283370 (8917/sec), new interesting: 74 (total: 1252)
fuzz: elapsed: 37s, execs: 311146 (9259/sec), new interesting: 82 (total: 1260)
fuzz: elapsed: 40s, execs: 337873 (8910/sec), new interesting: 99 (total: 1277)
fuzz: elapsed: 43s, execs: 364987 (9037/sec), new interesting: 119 (total: 1297)
fuzz: elapsed: 46s, execs: 393929 (9647/sec), new interesting: 121 (total: 1299)
fuzz: elapsed: 49s, execs: 421720 (9264/sec), new interesting: 122 (total: 1300)
fuzz: elapsed: 52s, execs: 448645 (8975/sec), new interesting: 124 (total: 1302)
fuzz: elapsed: 55s, execs: 476453 (9269/sec), new interesting: 124 (total: 1302)
fuzz: elapsed: 58s, execs: 505035 (9529/sec), new interesting: 126 (total: 1304)
fuzz: elapsed: 1m1s, execs: 532925 (9297/sec), new interesting: 126 (total: 1304)
fuzz: elapsed: 1m4s, execs: 560583 (9218/sec), new interesting: 128 (total: 1306)
fuzz: elapsed: 1m7s, execs: 588095 (9172/sec), new interesting: 130 (total: 1308)
fuzz: elapsed: 1m10s, execs: 615828 (9243/sec), new interesting: 131 (total: 1309)
fuzz: elapsed: 1m13s, execs: 643122 (9098/sec), new interesting: 133 (total: 1311)
fuzz: elapsed: 1m16s, execs: 666510 (7798/sec), new interesting: 133 (total: 1311)
fuzz: elapsed: 1m19s, execs: 691184 (8222/sec), new interesting: 134 (total: 1312)
fuzz: elapsed: 1m22s, execs: 718533 (9117/sec), new interesting: 135 (total: 1313)
fuzz: elapsed: 1m25s, execs: 747107 (9524/sec), new interesting: 136 (total: 1314)
fuzz: elapsed: 1m28s, execs: 774252 (9050/sec), new interesting: 137 (total: 1315)
fuzz: elapsed: 1m31s, execs: 802576 (9440/sec), new interesting: 137 (total: 1315)
fuzz: elapsed: 1m34s, execs: 830428 (9284/sec), new interesting: 138 (total: 1316)
fuzz: elapsed: 1m37s, execs: 856278 (8619/sec), new interesting: 147 (total: 1325)
fuzz: elapsed: 1m40s, execs: 884414 (9376/sec), new interesting: 158 (total: 1336)
fuzz: elapsed: 1m43s, execs: 913622 (9736/sec), new interesting: 159 (total: 1337)
fuzz: elapsed: 1m46s, execs: 941745 (9374/sec), new interesting: 160 (total: 1338)
fuzz: elapsed: 1m49s, execs: 969272 (9177/sec), new interesting: 160 (total: 1338)
fuzz: elapsed: 1m52s, execs: 997258 (9327/sec), new interesting: 161 (total: 1339)
fuzz: elapsed: 1m55s, execs: 1022924 (8555/sec), new interesting: 161 (total: 1339)
fuzz: elapsed: 1m58s, execs: 1049825 (8968/sec), new interesting: 161 (total: 1339)
fuzz: elapsed: 2m1s, execs: 1076578 (8915/sec), new interesting: 161 (total: 1339)
fuzz: elapsed: 2m4s, execs: 1102472 (8636/sec), new interesting: 162 (total: 1340)
fuzz: elapsed: 2m7s, execs: 1127465 (8329/sec), new interesting: 162 (total: 1340)
fuzz: elapsed: 2m10s, execs: 1150530 (7688/sec), new interesting: 162 (total: 1340)
fuzz: elapsed: 2m13s, execs: 1172936 (7469/sec), new interesting: 162 (total: 1340)
