fuzz: elapsed: 0s, gathering baseline coverage: 0/3 completed
fuzz: elapsed: 0s, gathering baseline coverage: 3/3 completed, now fuzzing with 2 workers
fuzz: elapsed: 3s, execs: 50266 (16755/sec), new interesting: 29 (total: 32)
fuzz: elapsed: 6s, execs: 113640 (21118/sec), new interesting: 29 (total: 32)
fuzz: elapsed: 9s, execs: 174548 (20308/sec), new interesting: 29 (total: 32)
fuzz: elapsed: 12s, execs: 221642 (15687/sec), new interesting: 29 (total: 32)
fuzz: elapsed: 15s, execs: 236186 (4846/sec), new interesting: 29 (total: 32)
fuzz: elapsed: 18s, execs: 248526 (4114/sec), new interesting: 29 (total: 32)
fuzz: elapsed: 21s, execs: 277790 (9737/sec), new interesting: 29 (total: 32)
fuzz: elapsed: 24s, execs: 316632 (12981/sec), new interesting: 29 (total: 32)
fuzz: elapsed: 27s, execs: 368366 (17246/sec), new interesting: 29 (total: 32)
fuzz: elapsed: 30s, execs: 406865 (12833/sec), new interesting: 29 (total: 32)
fuzz: elapsed: 33s, execs: 445362 (12833/sec), new interesting: 29 (total: 32)
fuzz: elapsed: 36s, execs: 484843 (13149/sec), new interesting: 29 (total: 32)
fuzz: elapsed: 39s, execs: 538304 (17831/sec), new interesting: 29 (total: 32)
fuzz: elapsed: 42s, execs: 597413 (19709/sec), new interesting: 29 (total: 32)
fuzz: elapsed: 45s, execs: 646943 (16509/sec), new interesting: 29 (total: 32)
fuzz: elapsed: 48s, execs: 705806 (19616/sec), new interesting: 29 (total: 32)
fuzz: elapsed: 51s, execs: 768947 (21047/sec), new interesting: 29 (total: 32)
fuzz: elapsed: 54s, execs: 832136 (21068/sec), new interesting: 29 (total: 32)
fuzz: elapsed: 57s, execs: 896741 (21530/sec), new interesting: 29 (total: 32)
fuzz: elapsed: 1m0s, execs: 962073 (21780/sec), new interesting: 29 (total: 32)
fuzz: elapsed: 1m3s, execs: 1024157 (20692/sec), new interesting: 29 (total: 32)
