fuzz: elapsed: 0s, gathering baseline coverage: 0/9 completed
fuzz: elapsed: 0s, gathering baseline coverage: 9/9 completed, now fuzzing with 4 workers
fuzz: elapsed: 3s, execs: 334369 (111381/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6s, execs: 654462 (106758/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9s, execs: 946203 (97254/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 12s, execs: 1242309 (98638/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 15s, execs: 1533500 (97064/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 18s, execs: 1823909 (96817/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 21s, execs: 2017069 (64419/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 24s, execs: 2230881 (71262/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 27s, execs: 2327380 (32165/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 30s, execs: 2571569 (81409/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 33s, execs: 2872270 (100208/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 36s, execs: 3153136 (93608/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 39s, execs: 3391212 (79385/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 42s, execs: 3603661 (70776/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 45s, execs: 3751854 (49426/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 48s, execs: 3866712 (38276/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 51s, execs: 4015899 (49740/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 54s, execs: 4195147 (59734/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 57s, execs: 4334267 (46389/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 1m0s, execs: 4471104 (45581/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 1m3s, execs: 4723945 (84339/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 1m6s, execs: 5002781 (92935/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 1m9s, execs: 5106522 (34541/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 1m12s, execs: 5230888 (41486/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 1m15s, execs: 5437724 (68971/sec), new interesting: 0 (total: 9)
